Date,Open,High,Low,Close,Volume,Currency
2021-03-29,268.87,277.49,264.92,275.12,2902371,USD
2021-03-30,275.12,311.41,271.3,311.41,5775496,USD
2021-03-31,311.41,316.44,287.24,302.18,4953699,USD
2021-04-01,302.19,339.0,300.79,334.33,4613084,USD
2021-04-02,334.33,356.51,326.06,338.25,4448138,USD
2021-04-03,338.82,348.99,316.06,321.53,3291000,USD
2021-04-04,321.91,352.21,316.54,349.37,2903172,USD
2021-04-05,349.36,379.45,335.86,367.41,3668571,USD
2021-04-06,367.41,411.6,364.2,402.69,4687744,USD
2021-04-07,402.69,414.08,358.2,375.47,6404421,USD
2021-04-08,375.47,421.63,372.48,417.71,4249429,USD
2021-04-09,418.6,453.5,404.83,453.5,3800589,USD
2021-04-10,453.5,486.69,451.23,472.25,4808534,USD
2021-04-11,471.54,528.95,459.5,525.54,3766339,USD
2021-04-12,525.54,636.11,515.56,598.62,9525703,USD
2021-04-13,596.59,602.31,533.3,550.1,5620465,USD
2021-04-14,550.13,590.36,525.39,549.61,4364905,USD
2021-04-15,549.65,556.32,534.85,542.31,2411839,USD
2021-04-16,542.3,547.51,491.21,508.73,4331304,USD
2021-04-17,508.25,547.78,506.9,515.13,3058621,USD
2021-04-18,515.1,520.0,429.96,481.42,4663130,USD
2021-04-19,481.47,539.96,469.31,503.97,5229067,USD
2021-04-20,503.98,588.98,474.35,587.5,5963762,USD
2021-04-21,587.45,612.86,537.64,543.34,5961485,USD
2021-04-22,543.3,582.15,482.81,505.84,6688852,USD
2021-04-23,505.12,529.95,450.94,526.56,7192736,USD
2021-04-24,526.52,527.18,483.39,497.5,3163840,USD
2021-04-25,497.46,516.91,479.4,504.29,2637705,USD
2021-04-26,504.29,549.96,502.41,535.23,3254051,USD
2021-04-27,535.22,578.33,525.76,568.8,2950328,USD
2021-04-28,568.8,578.8,539.59,562.49,2673596,USD
2021-04-29,563.22,614.64,554.73,600.38,4731226,USD
2021-04-30,599.89,627.71,586.03,623.33,3753100,USD
2021-05-01,623.25,643.21,611.49,619.84,2715940,USD
2021-05-02,619.91,628.93,595.75,621.95,2345457,USD
2021-05-03,621.96,679.98,621.56,676.56,3140458,USD
2021-05-04,676.25,677.67,619.79,619.96,4130984,USD
2021-05-05,620.81,656.35,620.55,650.99,2546854,USD
2021-05-06,650.81,653.58,620.02,633.28,2345826,USD
2021-05-07,633.99,644.14,612.12,624.02,2264691,USD
2021-05-08,624.35,657.77,618.73,646.18,2330447,USD
2021-05-09,646.17,678.27,631.44,661.65,2454349,USD
2021-05-10,661.65,690.87,592.52,631.68,3238635,USD
2021-05-11,631.66,672.98,622.87,672.26,2782145,USD
2021-05-12,671.61,684.51,585.35,585.6,2917509,USD
2021-05-13,585.61,632.91,527.16,571.76,5738642,USD
2021-05-14,571.76,614.69,566.69,602.46,2299434,USD
2021-05-15,602.44,610.39,560.58,562.85,2379995,USD
2021-05-16,562.84,606.53,535.01,563.41,3073945,USD
2021-05-17,563.37,563.38,484.3,511.76,4244380,USD
2021-05-18,511.79,533.45,496.65,508.28,2857851,USD
2021-05-19,508.27,515.55,282.3,335.12,11921440,USD
2021-05-20,335.09,423.5,287.48,392.64,8494524,USD
2021-05-21,391.12,414.79,276.78,326.44,9213522,USD
2021-05-22,326.44,334.69,286.5,299.25,5573488,USD
2021-05-23,299.25,312.85,212.41,261.57,9229325,USD
2021-05-24,261.56,349.89,257.97,345.02,8074039,USD
2021-05-25,345.44,374.86,307.55,343.77,7926626,USD
2021-05-26,343.76,387.25,337.4,379.22,5822199,USD
2021-05-27,379.2,387.17,340.81,367.46,5176336,USD
2021-05-28,369.79,373.28,313.42,329.31,6312678,USD
2021-05-29,329.31,346.88,296.43,304.76,4570987,USD
2021-05-30,304.81,337.77,291.72,325.59,4519905,USD
2021-05-31,325.6,355.43,307.9,353.74,4966987,USD
2021-06-01,353.63,364.16,340.56,362.39,4416769,USD
2021-06-02,362.39,417.41,351.19,401.12,5259605,USD
2021-06-03,401.13,432.58,391.83,427.59,5057763,USD
2021-06-04,428.47,428.71,366.56,390.97,5923167,USD
2021-06-05,390.68,425.57,374.62,390.09,4787971,USD
2021-06-06,390.09,399.82,382.07,393.2,2270956,USD
2021-06-07,393.23,406.99,354.55,358.08,3602573,USD
2021-06-08,358.05,365.89,320.39,352.64,5994115,USD
2021-06-09,352.54,378.44,333.69,375.29,4242394,USD
2021-06-10,375.53,376.81,344.96,351.43,2961393,USD
