Date,Open,High,Low,Close,Volume,Currency
2021-05-18,43538.5,45770.9,42293.9,42897.3,154956,USD
2021-05-19,42898.3,43516.6,30261.7,36720.5,607096,USD
2021-05-20,36706.8,42425.9,35010.4,40717.2,269754,USD
2021-05-21,40611.2,42108.3,33592.3,37297.4,315496,USD
2021-05-22,37291.0,38776.0,35314.9,37448.3,185825,USD
2021-05-23,37446.8,38248.7,31192.4,34679.7,325726,USD
2021-05-24,34720.3,39851.7,34474.6,38750.6,244879,USD
2021-05-25,38753.6,39740.8,36540.7,38378.3,163007,USD
2021-05-26,38375.7,40750.0,37847.0,39249.2,153801,USD
2021-05-27,39249.0,40322.2,37190.8,38417.3,122926,USD
2021-05-28,38543.2,38844.1,34772.4,35662.5,199579,USD
2021-05-29,35664.5,37227.1,33664.2,34584.6,160428,USD
2021-05-30,34589.3,36388.6,33441.0,35652.8,104183,USD
2021-05-31,35644.0,37480.7,34213.2,37298.6,131700,USD
2021-06-01,37294.3,37850.3,35742.7,36687.6,113478,USD
2021-06-02,36687.7,38199.9,35981.1,37555.8,96889,USD
2021-06-03,37555.7,39462.3,37193.6,39187.3,106442,USD
2021-06-04,39191.4,39255.4,35659.9,36851.3,127708,USD
2021-06-05,36841.2,37887.6,34832.0,35520.0,101475,USD
2021-06-06,35518.7,36434.0,35265.3,35815.4,62199,USD
2021-06-07,35815.4,36754.6,33410.1,33578.0,119498,USD
2021-06-08,33574.6,34047.8,31158.1,33382.9,193535,USD
2021-06-09,33385.5,37517.6,32428.6,37332.2,209820,USD
2021-06-10,37375.2,38340.8,35824.0,36649.4,154318,USD
2021-06-11,36654.3,37641.1,36003.3,37314.6,109151,USD
2021-06-12,37334.4,37437.3,34703.3,35467.5,87725,USD
2021-06-13,35467.5,39321.6,34827.0,39022.9,123320,USD
2021-06-14,39024.1,40970.4,38769.9,40529.4,157354,USD
2021-06-15,40522.5,41318.0,39589.9,40156.1,117551,USD
2021-06-16,40148.1,40494.4,38156.4,38336.0,123516,USD
2021-06-17,38337.8,39529.9,37425.3,38052.0,109578,USD
2021-06-18,38045.5,38166.0,35198.5,35749.4,102842,USD
2021-06-19,35770.0,36357.3,34845.5,35513.4,105462,USD
2021-06-20,35510.9,36097.9,33378.0,35595.8,137483,USD
2021-06-21,35597.9,35708.4,31284.1,31692.0,256872,USD
2021-06-22,31682.7,33272.5,28901.8,32496.4,309654,USD
2021-06-23,32498.3,34784.3,31736.5,33674.3,173340,USD
2021-06-24,33678.1,35249.9,32356.7,34665.8,119250,USD
2021-06-25,34660.5,35490.9,31337.9,31594.0,193433,USD
2021-06-26,31592.1,32643.0,30206.9,32243.4,156667,USD
2021-06-27,32247.1,34685.5,32041.7,34678.5,148803,USD
2021-06-28,34682.2,35231.2,33944.9,34475.9,111999,USD
2021-06-29,34477.3,36590.3,34247.6,35834.7,97270,USD
2021-06-30,35832.6,36089.5,34126.6,35026.9,107072,USD
2021-07-01,35030.7,35032.7,32839.2,33543.6,27412,USD
2021-07-02,33542.2,33925.9,32734.6,33813.4,78929,USD
2021-07-03,33814.2,34909.8,33363.3,34742.8,55693,USD
2021-07-04,34742.8,35957.6,34740.1,35298.2,56133,USD
2021-07-05,35297.0,35300.5,33164.1,33687.8,88355,USD
2021-07-06,33688.5,35062.0,33581.7,34225.6,83628,USD
2021-07-07,34228.7,35036.6,33801.3,33867.8,72034,USD
2021-07-08,33859.4,33923.2,32146.9,32866.3,108092,USD
2021-07-09,32866.3,34079.2,32367.0,33797.4,67137,USD
2021-07-10,33797.7,34221.0,33056.8,33510.6,50942,USD
2021-07-11,33510.8,34580.6,33319.8,34227.7,35715,USD
2021-07-12,34228.3,34598.0,32662.8,33113.0,63242,USD
2021-07-13,33106.1,33307.7,32259.5,32728.1,60037,USD
2021-07-14,32727.8,33051.9,31611.2,32820.7,69557,USD
2021-07-15,32820.5,33157.0,31175.8,31840.5,76952,USD
2021-07-16,31842.3,32239.8,31062.2,31394.0,70478,USD
2021-07-17,31384.4,31914.8,31207.8,31518.6,58060,USD
2021-07-18,31517.9,32408.2,31220.6,31785.4,57005,USD
2021-07-19,31782.9,31887.0,30478.2,30837.2,77481,USD
2021-07-20,30835.4,31040.8,29310.2,29793.8,97459,USD
2021-07-21,29794.7,32794.6,29519.3,32131.4,118341,USD
2021-07-22,32131.7,32585.4,31729.4,32298.9,64869,USD
2021-07-23,32297.9,33605.6,32041.1,33603.3,66148,USD
2021-07-24,33600.5,33955.0,33412.9,33824.8,67144,USD
2021-07-25,34392.5,35391.1,33881.3,35391.1,65095,USD
2021-07-26,35392.3,40522.9,35236.7,37276.6,177626,USD
2021-07-27,37294.3,39455.9,36427.4,39452.0,100237,USD
2021-07-28,39450.4,40862.2,38883.8,40003.2,148920,USD
2021-07-29,40009.0,40630.7,39340.8,40001.4,75297,USD
2021-07-30,40001.1,42264.4,38358.4,42203.4,98452,USD
2021-07-31,42201.4,42285.3,41066.4,41553.7,44650,USD
2021-08-01,41510.0,42565.0,39556.5,39878.3,80331,USD
2021-08-02,39869.8,40449.0,38692.5,39168.4,74810,USD
2021-08-03,39167.4,39766.6,37688.2,38130.3,264,USD
2021-08-04,38188.4,39956.5,37556.0,39736.9,79216,USD
2021-08-05,39734.4,41366.3,37365.4,40867.2,130601,USD
2021-08-06,40868.4,43253.4,39905.4,42795.4,111929,USD
2021-08-07,42784.7,44697.3,42611.0,44614.2,112836,USD
2021-08-08,44584.9,45284.1,43314.4,43792.8,105249,USD
2021-08-09,43794.9,46460.7,42824.1,46284.3,117080,USD
2021-08-10,46281.8,46663.4,44681.2,45593.8,80549,USD
2021-08-11,45593.2,46736.5,45367.9,45564.3,75434,USD
2021-08-12,45562.3,46213.8,43814.7,44403.4,81071,USD
2021-08-13,44404.0,47836.0,44242.4,47809.1,75268,USD
2021-08-14,47809.6,48090.9,46117.2,47081.5,64292,USD
2021-08-15,47082.6,47344.1,45564.1,46991.3,58107,USD
2021-08-16,46991.6,48002.4,45672.1,45996.3,2411,USD
